Product,Category,LeasableStatus,Category Predicted by Model
glock g43x subcompact semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
glock 19 gen5 fs semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
glock g43x mos optics ready semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Home & Living/Home Décor/Safety & Security
sig sauer p365 x macro compensated semi auto pistol with xray3 night sights,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,TRUE,"TV, Audio / Video, Gaming & Wearables/Audio/Portable Players"
glock 19x semi auto pistol with coyote finish,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Home & Living/Home Décor/Other Home Decorations
ruger security 380 semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Home & Living/Home Décor/Safety & Security
glock g19 semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
glock 43 subcompact semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
glock 19 gen5 mos fs semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
sig sauer p320 rxp x full size semi auto pistol with romeo1 pro optic,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,"TV, Audio / Video, Gaming & Wearables/Gaming/PS4"
Ruger LCP Semi Auto Pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
sig sauer p365 xl micro compact semi auto handgun with manual safety,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Home & Living/Home Improvement/Safety & Security
sig sauer p320 rxp compact 2 tone semi auto pistol with romeo1 pro optic,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,TRUE,"TV, Audio / Video, Gaming & Wearables/Wearable Technology/Smart Watches"
glock 26 gen5 9mm subcompact semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
canik mete mc9 semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
canik tp9sfx semi auto pistol with full accessory pack,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Fashion/Women/Bags
taurus g3c compact semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
glock g45 compact semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
glock g17 semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
glock 23 gen5 40 sw semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
ruger lcp max semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
sig sauer p320 m18 semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
beretta apx a1 carry semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,TRUE,Computers & Laptops/Computer Accessories/Gadgets
smith wesson mp shield ez semi auto pistol with thumb safety,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Home & Living/Home Décor/Other Home Decorations
springfield armory hellcat micro compact osp handgun with manual safety,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Home & Living/Home Improvement/Safety & Security
sig sauer p365 optic ready semi auto pistol with x ray3 night sights and manual safety 101418895,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,TRUE,Home & Living/Home Improvement/Other Home Decorations
springfield armory xd m elite tactical osp semi auto handgun in desert fde,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Home & Living/Home Improvement/Housekeeping & Laundry
glock g17 gen5 full size semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
cz p 10 m micro sized semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Home & Living/Home Décor/Hardware
glock 43x mos semi auto pistol with shield ms3,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,TRUE,"TV, Audio / Video, Gaming & Wearables/Wearable Technology/Smart Watches"
cz p 07 semi auto pistol,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,"TV, Audio / Video, Gaming & Wearables/TV Accessories/Wall Mounts & Protectors"
100024385 ruger lc9s semi auto pistol 100024385,Handguns: Centerfire Pistols &amp; Revolvers | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Phone Cases
savage arms 110 vsx hunter xp bolt action rifle with vortex diamondback scope combo,Centerfire | Bass Pro Shops,FALSE,Home & Living/Home Improvement/Other Home Decorations/overwritten
traditions nitrofire vapr twist muzzleloader rifle with scope in mossy oak break up country,Centerfire | Bass Pro Shops,FALSE,Home & Living/Stationery/Novelty
tikka t3x lite d 18 bolt action rifle with vsx stock,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Shoes
ruger american rifle hunter bolt action rifle,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Accessories
traditions nitrofire vapr twist cerakote muzzleloader rifle,Centerfire | Bass Pro Shops,FALSE,Home & Living/Stationery/Arts & Crafts
benelli lupo bolt action rifle display model cosmetic damage,Centerfire | Bass Pro Shops,FALSE,Health & Beauty/Makeup/Makeup Accessories
winchester xpr vortex bolt action rifle and scope combo,Centerfire | Bass Pro Shops,FALSE,Home & Living/Home Improvement/Safety & Security
savage axis ii precision cerakote od green bolt action rifle,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Accessories
browning ab3 composite stalker bolt action rifle with leupold vx freedom scope combo,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Accessories
savage arms axis ii xp truetimber vsx bolt action rifle,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Accessories
ruger american rifle ranch bolt action rifle with threaded barrel,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Clothing
savage 110 magpul hunter bolt action rifle exclusive,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Accessories
bergara b 14 hmr bolt action rifle,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Accessories
henry x model lever action rifle,Centerfire | Bass Pro Shops,FALSE,Home & Living/Home Improvement/Power Tools Accessories/overwritten
savage arms axis ii xp truetimber vsx bolt action rifle with threaded barrel,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Accessories
browning x bolt hells canyon max lr bolt action rifle,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Accessories
browning x bolt max long range bolt action rifle,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Accessories
browning x bolt speed long range bolt action rifle,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Accessories
fierce firearms carbon rogue bolt action rifle,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Clothing
tikka t3x superlite bolt action rifle in truetimber vsx,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Accessories
tikka t3x lite stainless steel bolt action rifle,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Accessories
mossberg patriot predator bolt action rifle with cerakote finish,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Shoes
tikka t3x laminated stainless bolt action rifle,Centerfire | Bass Pro Shops,FALSE,Home & Living/Home Improvement/Safety & Security
traditions nitrofire vapr twist cerakote muzzleloader rifle with scope,Centerfire | Bass Pro Shops,FALSE,Home & Living/Stationery/Paper Products
remington 700 adl bolt action rifle,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Accessories
christensen arms traverse bolt action rifle,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Accessories
bergara b 14 hmr carbon wilderness bolt action rifle,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Accessories
traditions nitrofire vapr twist cerakote camo muzzleloader rifle,Centerfire | Bass Pro Shops,FALSE,Home & Living/Stationery/Arts & Crafts
sauer 100 classic xt bolt action rifle,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Shoes
browning x bolt hells canyon mcmillan lr bolt action rifle,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Accessories
cva scout v2 takedown single shot rifle,Centerfire | Bass Pro Shops,FALSE,Home & Living/Home Improvement/Other Home Decorations/overwritten
ruger american predator bolt action rifle with vortex crossfire ii scope,Centerfire | Bass Pro Shops,FALSE,Fashion/Men/Shoes
ruger 1022 carbine semi auto rimfire rifle with viridian scope,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Home & Living/Stationery/School & Office Accessories
smith wesson mp 15 22 sport rimfire rifle,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Fashion/Men/Wallets & Accessories
henry classic lever action rimfire rifle,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Fashion/Men/Wallets & Accessories
hk mp5 22 lr semi auto rifle with faux suppressor barrel shroud,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Fashion/Women/Wallets & Accessories
henry us survival ar 7 semi auto rimfire rifle,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Home & Living/Home Improvement/Electrical/overwritten
Savage Mark II FV SR Bolt Action Rimfire Rifle,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Fashion/Men/Accessories
henry golden boy lever action rimfire rifle,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Fashion/Men/Accessories
Ruger 1022 Carbine Semi Auto Rimfire Rifle,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Home & Living/Stationery/School & Office Accessories
rossi rs22 semi auto rimfire rifle with threaded barrel,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Home & Living/Stationery/Arts & Crafts
hk 416 semi auto rimfire rifle,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Mobiles & Tablets/Accessories/Chargers/overwritten
henry 22 magnum lever action rimfire rifle,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Fashion/Men/Accessories
henry rimfire lever action rifle with large loop lever,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Home & Living/Home Improvement/Safety & Security
savage arms 64f semi auto rimfire rifle,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,"TV, Audio / Video, Gaming & Wearables/Gaming/PS4"
winchester xpert rimfire bolt action rifle,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Fashion/Men/Accessories
winchester wildcat sr semi auto rimfire rifle,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Home & Living/Home Improvement/Measuring & Levelling/overwritten
winchester wildcat semi auto rimfire rifle,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,"Fashion/Women/Lingerie, Sleep & Lounge"
savage 93 fv 22 wmr bolt action rimfire rifle,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Fashion/Men/Accessories
smith wesson mp15 22 sport m lok semi auto rifle,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Fashion/Women/Wallets & Accessories
ruger 10 22 tactical semi auto rifle with ati ar 22 stock system,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Home & Living/Home Improvement/Electrical/overwritten
Ruger 1022 Carbine Semi Auto Rimfire Rifle with Stainless Steel Barrel,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Home & Living/Stationery/School & Office Accessories
henry octagon frontier lever action rimfire rifle,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Fashion/Men/Accessories
savage arms 93 fxp bolt action rimfire rifle black,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Fashion/Men/Accessories
savage rascal single shot bolt action rimfire compact rifle,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Home & Living/Home Improvement/Other Home Decorations/overwritten
ruger 10 22 truetimber carbine semi auto rimfire rifle,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Home & Living/Stationery/School & Office Accessories
ruger 10 22 truetimber midnight carbine semi auto rimfire rifle,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Fashion/Women/Wallets & Accessories
cz 457 american bolt action rimfire rifle,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Fashion/Boys/Accessories
savage arms rascal target single shot bolt action rimfire rifle,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Fashion/Men/Accessories
Savage 93R17 BTV Bolt Action Rimfire Rifle with Green Laminate Stock,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Fashion/Men/Accessories
cz 457 jaguar bolt action rimfire rifle,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Fashion/Men/Accessories
ruger 10 22 takedown semi auto rimfire rifle,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Home & Living/Stationery/School & Office Accessories
ruger 10 22 takedown semi auto rifle with magpul x 22 backpacker stock,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Home & Living/Stationery/School & Office Accessories
volquartsen vm 22 semi auto rimfire rifle with magpul stock,Rimfire Rifles | .22 Rifles | Bass Pro Shops,FALSE,Home & Living/Stationery/School & Office Accessories
winchester sx4 waterfowl hunter semi auto shotgun in truetimber drt,Shotguns | Bass Pro Shops,FALSE,Fashion/Men/Bags
benelli super black eagle 3 semi auto shotgun with gore optifade concealment waterfowl marsh and cerakote finish,Shotguns | Bass Pro Shops,TRUE,Home & Living/Home Improvement/Other Home Decorations
stoeger m3000 semi auto shotgun with burnt bronze cerakote finish,Shotguns | Bass Pro Shops,FALSE,Fashion/Women/Bags
remington 870 fieldmaster pump action shotgun,Shotguns | Bass Pro Shops,FALSE,Fashion/Men/Accessories
benelli nova pump action shotgun,Shotguns | Bass Pro Shops,TRUE,Home & Living/Outdoor & Garden/Outdoor Décor
beretta a300 ultima semi auto shotgun,Shotguns | Bass Pro Shops,FALSE,Home & Living/Stationery/Arts & Crafts
benelli super black eagle 3 semi auto shotgun 101032873,Shotguns | Bass Pro Shops,TRUE,Home & Living/Home Improvement/Electrical
Mossberg 500 Pump Action Shotgun,Shotguns | Bass Pro Shops,FALSE,Fashion/Women/Bags
winchester sxp extreme defender fde tactical pump action shotgun,Shotguns | Bass Pro Shops,TRUE,Home & Living/Outdoor & Garden/Lawn & Garden
remington 870 tactical synthetic pump action shotgun,Shotguns | Bass Pro Shops,FALSE,Home & Living/Home Improvement/Hardware
savage stevens 320 security thumbhole pump action shotgun with ghost ring sights,Shotguns | Bass Pro Shops,FALSE,Home & Living/Home Improvement/Safety & Security
beretta a400 xtreme plus semi auto shotgun in truetimber prairie,Shotguns | Bass Pro Shops,TRUE,Home & Living/Home Improvement/Electrical
savage 220 xp bolt action slug shotgun with scope combo with truetimber strata,Shotguns | Bass Pro Shops,TRUE,"Home & Living/Home Improvement/Curtains, Blinds & Shades"
tristar cobra iii field wood pump action shotgun,Shotguns | Bass Pro Shops,TRUE,Home & Living/Outdoor & Garden/Lawn & Garden
benelli m1014 limited edition shotgun,Shotguns | Bass Pro Shops,FALSE,Home & Living/Home Improvement/Housekeeping & Laundry
winchester sxp shadow defender pump action shotgun,Shotguns | Bass Pro Shops,FALSE,Fashion/Men/Bags
benelli super black eagle 3 semi auto shotgun in gore optifade concealment waterfowl marsh camo,Shotguns | Bass Pro Shops,TRUE,Home & Living/Home Improvement/Electrical
winchester sxp black shadow pump action shotgun,Shotguns | Bass Pro Shops,FALSE,Fashion/Men/Shoes
mossberg 500 tactical jic cruiser shotgun,Shotguns | Bass Pro Shops,FALSE,Home & Living/Home Improvement/Safety & Security
benelli super black eagle iii semi auto shotgun in gore optifade camo,Shotguns | Bass Pro Shops,TRUE,Home & Living/Home Improvement/Electrical
benelli nova tactical pump action shotgun,Shotguns | Bass Pro Shops,TRUE,Home & Living/Outdoor & Garden/Outdoor Décor
franchi affinity 3 semi auto shotgun,Shotguns | Bass Pro Shops,TRUE,Mobiles & Tablets/Accessories/Cables
stevens model 555 silver over under shotgun,Shotguns | Bass Pro Shops,TRUE,Home & Living/Home Improvement/Electrical
stoeger condor field synthetic stock over under shotgun,Shotguns | Bass Pro Shops,FALSE,Home & Living/Kitchen & Dining/Tableware
benelli supernova tactical pump action shotgun,Shotguns | Bass Pro Shops,TRUE,Home & Living/Outdoor & Garden/Outdoor Décor
stoeger p3000 pump action shotgun,Shotguns | Bass Pro Shops,FALSE,Fashion/Women/Bags
franchi affinity 3 semi auto shotgun in truetimber drt camo,Shotguns | Bass Pro Shops,TRUE,Home & Living/Home Improvement/Measuring & Levelling
benelli nova pump action shotgun in truetimber drt camo,Shotguns | Bass Pro Shops,TRUE,Home & Living/Outdoor & Garden/Outdoor Décor
winchester sxp woodland hybrid defender pump action shotgun,Shotguns | Bass Pro Shops,TRUE,Mobiles & Tablets/Accessories/Cables
mossberg 590a1 9 round pump action shotgun with shell storage mlok forend and xs ghost ring,Shotguns | Bass Pro Shops,TRUE,Home & Living/Home Improvement/Other Home Decorations
cz drake over under shotgun,Shotguns | Bass Pro Shops,FALSE,Watches Sunglasses Jewellery/Watches/Women
blackwater sentry 12 tactical pump action shotgun,Shotguns | Bass Pro Shops,TRUE,Home & Living/Outdoor & Garden/Outdoor Décor
blackout intrigue xst rth compound bow package,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,Fashion/Women/Shoes
blackout faze compound bow package,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,Fashion/Women/Shoes
cabelas endure rth compound bow package,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,Health & Beauty/Makeup/Makeup Accessories
cabelas uproar compound bow rth package,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,Health & Beauty/Food Supplements/Weight Management
blackout nv 3 compound bow,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,Home & Living/Home Décor/Safety & Security
blackout nv 32 compound bow,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,Home & Living/Home Décor/Safety & Security
blackout distinct compound bow package,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,Fashion/Women/Shoes
cabelas warden 62 recurve bow,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,Home & Living/Stationery/Arts & Crafts
blackout pursuit rth compound bow package,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,Fashion/Women/Shoes
bear archery species ev rth compound bow package,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,Fashion/Women/Bags
blackout epic x2 compound bow package,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,Health & Beauty/Makeup/Face
blackout epic compound bow package,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,Health & Beauty/Makeup/Face
bear archery species ev rth extra compound bow package,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,Fashion/Women/Bags
pse guide compound bow package for youth,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,"Fashion/Women/Lingerie, Sleep & Lounge"
bear archery limitless rth compound bow package,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,Health & Beauty/Food Supplements/Weight Management
cabelas optimus rth compound bow package,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,"Fashion/Women/Lingerie, Sleep & Lounge"
bear archery adapt rth compound bow package,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,Health & Beauty/Food Supplements/Weight Management
PSE Archery Mini Burner RTS Compound Bow Package,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,Health & Beauty/Food Supplements/Weight Management
diamond by bowtech edge xt compound bow package,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,Health & Beauty/Makeup/Face
bear archery legit rth compound bow package,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,Health & Beauty/Food Supplements/Weight Management
diamond by bowtech deploy sb rak compound bow package,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,Health & Beauty/Food Supplements/Weight Management
diamond by bowtech edge max compound bow package,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,Health & Beauty/Food Supplements/Weight Management
pse archery stinger atk rts compound bow package,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,Fashion/Women/Clothing
pse archery uprising rts compound bow package,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,Fashion/Women/Clothing
diamond by bowtech alter rak compound bow package,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,Health & Beauty/Food Supplements/Weight Management
bear archery trace hc rth compound bow package,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,Health & Beauty/Makeup/Face
bear archery goblin youth bow package,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,Health & Beauty/Food Supplements/Weight Management
vista monarch 54 recurve bow,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,Home & Living/Stationery/Arts & Crafts
bear archery resurgence rth compound bow package,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,Health & Beauty/Food Supplements/Weight Management
original genesis compound bow kits,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,Home & Living/Stationery/School & Office Accessories
diamond by bowtech edge 320 rak compound bow package,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,Health & Beauty/Makeup/Makeup Accessories
bear archery pathfinder rth compound bow package for youth,Bows &amp; Compound Bows | Bass Pro Shops,FALSE,"Fashion/Women/Lingerie, Sleep & Lounge"
rage hypodermic crossbow broadhead,Broadheads Broadhead Accessories &amp; Field Points | Bass Pro Shops,FALSE,Fashion/Women/Clothing
rage hypodermic broadheads,Broadheads Broadhead Accessories &amp; Field Points | Bass Pro Shops,FALSE,Fashion/Women/Clothing
blackout field points,Broadheads Broadhead Accessories &amp; Field Points | Bass Pro Shops,FALSE,"Home & Living/Home Décor/Curtains, Blinds & Shades"
g5 megameat mechanical broadhead,Broadheads Broadhead Accessories &amp; Field Points | Bass Pro Shops,TRUE,Home Appliances/Small Kitchen Appliances/Juicers & Fruit Extractors
blackout fxd cut on contact fixed blade broadheads,Broadheads Broadhead Accessories &amp; Field Points | Bass Pro Shops,FALSE,Home & Living/Stationery/Paper Products
g5 outdoors deadmeat expandable broadhead,Broadheads Broadhead Accessories &amp; Field Points | Bass Pro Shops,FALSE,Fashion/Men/Bags
blackout toxik fixed blade broadheads or replacement blades,Broadheads Broadhead Accessories &amp; Field Points | Bass Pro Shops,FALSE,Home & Living/Home Décor/Safety & Security
new archery products spitfire 3 blade mechanical broadheads,Broadheads Broadhead Accessories &amp; Field Points | Bass Pro Shops,FALSE,Health & Beauty/Food Supplements/Well Being
rage x treme expandable broadheads replacement shock collars,Broadheads Broadhead Accessories &amp; Field Points | Bass Pro Shops,FALSE,Home & Living/Stationery/School & Office Accessories
blackout lazer strike ii expandable broadhead,Broadheads Broadhead Accessories &amp; Field Points | Bass Pro Shops,FALSE,Home & Living/Stationery/Paper Products
100957054 blackout easy pull field points 100957054,Broadheads Broadhead Accessories &amp; Field Points | Bass Pro Shops,FALSE,Home & Living/Stationery/Paper Products
g5 megameat crossbow broadhead,Broadheads Broadhead Accessories &amp; Field Points | Bass Pro Shops,TRUE,Home Appliances/Small Kitchen Appliances/Food Preparation
sik broadheads sk2 2 blade expandable broadhead,Broadheads Broadhead Accessories &amp; Field Points | Bass Pro Shops,FALSE,Home & Living/Stationery/Arts & Crafts
muzzy 3 blade fixed blade crossbow broadhead,Broadheads Broadhead Accessories &amp; Field Points | Bass Pro Shops,TRUE,Computers & Laptops/Desktops Computers/All-In-One
rage hypodermic trypan nc expandable broadhead,Broadheads Broadhead Accessories &amp; Field Points | Bass Pro Shops,FALSE,Fashion/Men/Clothing
g5 outdoors montec fixed blade broadheads,Broadheads Broadhead Accessories &amp; Field Points | Bass Pro Shops,FALSE,Home & Living/Home Improvement/Safety & Security
swhacker levi morgan 261 mechanical broadheads,Broadheads Broadhead Accessories &amp; Field Points | Bass Pro Shops,FALSE,Watches Sunglasses Jewellery/Eyewear/Men
G5 Outdoors Deadmeat BMP Practice Broadhead,Broadheads Broadhead Accessories &amp; Field Points | Bass Pro Shops,FALSE,Fashion/Men/Clothing
magnus stinger buzzcut fixed blade broadhead,Broadheads Broadhead Accessories &amp; Field Points | Bass Pro Shops,TRUE,Computers & Laptops/Desktops Computers/All-In-One
grim reaper razortip whitetail special mechanical broadheads,Broadheads Broadhead Accessories &amp; Field Points | Bass Pro Shops,FALSE,Health & Beauty/Food Supplements/Well Being
muzzy trocar hbx crossbow broadhead,Broadheads Broadhead Accessories &amp; Field Points | Bass Pro Shops,TRUE,Home Appliances/Small Kitchen Appliances/Food Preparation
muzzy trocar broadhead,Broadheads Broadhead Accessories &amp; Field Points | Bass Pro Shops,TRUE,Home Appliances/Small Kitchen Appliances/Food Preparation
magnus stinger fixed blade broadheads,Broadheads Broadhead Accessories &amp; Field Points | Bass Pro Shops,TRUE,Computers & Laptops/Desktops Computers/All-In-One
